Months,W_Price,M_Price,R_Price,C_Price,S_Price,Rainfall,Temperature,Exchange Rate ,Interest Rate 
1/1/2000,5480.83,4831.4,12501.87,54.38,6.21,9.48432,20.9622,51.768883,11
2/1/2000,5590.61,4928.62,12483.42,61.12,6.22,10.4175,14.921,51.797568,11
3/1/2000,5475.42,4923.73,11694.19,65.27,5.7,16.154,8.4955,51.790659,11
4/1/2000,5443.88,4930.62,11122.38,66.81,6.73,24.1837,4.16128,51.791113,11
5/1/2000,5807.84,4990.06,10285.68,68.88,7.77,28.7802,8.3103,51.798594,11
6/1/2000,5878.86,4367.58,10151.14,67.85,9.32,29.0542,15.3148,52.15938,11
7/1/2000,5644.24,3898.35,9788.6,66.81,10.88,28.4466,56.4066,53.367104,11
8/1/2000,5612.13,3914.41,9659.12,69.4,11.91,27.7384,32.3592,54.832791,11
9/1/2000,6084.99,4165.59,9270.69,70.44,11.39,25.435,17.4146,58.384255,11
10/1/2000,6771.36,4491.88,9905.06,70.79,12.68,22.06,3.45484,57.436069,13
11/1/2000,7243.37,5056.69,10491.07,79.96,12.48,15.8019,4.18189,57.981777,13
12/1/2000,7442.81,5668.83,10706.05,84.25,12.78,11.6572,6.23501,57.986277,13
1/1/2001,7857.71,5628.29,10907.58,83.4,13.6,8.77149,4.3523,59.273959,13
2/1/2001,7650.13,5492.02,11017.48,79.42,13.14,11.896,8.79084,60.350445,13
3/1/2001,7872.34,5456.82,10581.1,72.56,12.09,17.0568,15.8252,60.815047,13
4/1/2001,7916.97,5372.21,9997.71,68.99,11.6,22.5896,20.4035,61.240914,13
5/1/2001,8287.28,5167.42,10098.24,67.6,12.9,28.4413,9.68161,63.237712,13
6/1/2001,8073.41,5286.45,10660.47,66.63,12.69,29.2464,44.0088,64.089077,14
7/1/2001,7869.25,5831.22,10768.65,63.57,12.08,28.584,69.0573,64.146349,13
8/1/2001,7825.06,5977.91,10798.61,61.61,11.55,27.7931,28.3686,64.06206,12
9/1/2001,7834.07,5782.95,11106.24,58.42,10.91,25.3683,12.0533,64.059486,12
10/1/2001,7726.11,5422.18,10686.51,51.37,9.4,22.1255,3.21934,61.502416,10
11/1/2001,7708.32,5509.72,10676.09,51.69,10.46,16.4086,11.0999,60.889816,10
12/1/2001,7452.17,5592.17,10914.71,57.82,10.35,12.609,6.74569,60.097437,10
1/1/2002,7608.69,5584.93,11642.85,58.29,10.32,9.55666,10.1487,60.253064,9
2/1/2002,7421.31,5467.26,11758.64,56.59,8.43,11.0236,23.5544,60.128605,9
3/1/2002,7369.21,5388.9,11365.93,55.93,9.02,17.5713,21.6232,60.091495,9
4/1/2002,7437.99,5238.22,11434.74,54.71,9.02,23.2651,20.4762,60.1138,9
5/1/2002,7302.15,5427.01,11873.65,52.91,7.82,28.0095,11.0298,60.150395,9
6/1/2002,7939.5,5658.02,12187.37,57.73,7.82,29.6382,22.9552,60.072913,9
7/1/2002,8953.75,5918.19,11969.51,61.77,8.4,29.0209,11.5102,59.558185,9
8/1/2002,9604.53,6487.8,11335.92,64.92,8.34,28.1989,30.9045,59.362353,9
9/1/2002,11138.54,6768.28,11065.01,64.04,8.89,24.8604,23.3038,59.189462,9
10/1/2002,11264.3,6492.71,11023.41,64.51,10.06,22.0476,4.19328,58.930537,9
11/1/2002,10415.53,6396.23,10965.72,67.53,9.98,16.3291,11.0217,58.352572,7.5
12/1/2002,9510.58,6260.78,10916.56,71.41,10.54,11.4783,14.2315,58.372442,7.5
1/1/2003,8719,6185.65,11699.35,72.85,10.49,9.67367,12.5145,58.175554,7.5
2/1/2003,8760.61,6147.65,11543.17,74.92,11.62,11.9434,62.4657,58.106689,7.5
3/1/2003,8208.4,6112.45,11402.97,78.14,10.42,16.5852,29.4378,57.826486,7.5
4/1/2003,8011.33,6094.9,11269.72,77.44,9.82,22.8133,24.3873,57.784954,7.5
5/1/2003,8195.56,6205.56,11430.83,73.9,9.24,25.513,18.5819,57.629186,7.5
6/1/2003,7581.91,6195.4,11740.84,74.46,8.66,29.7465,13.2034,57.808964,7.5
7/1/2003,7602.13,5591.57,11464.99,76.82,8.66,28.3876,106.332,57.757054,7.5
8/1/2003,8593.99,5816.78,11268.34,76.86,8.67,27.7286,67.6001,57.748527,7.5
9/1/2003,8414.98,6014.5,11418.76,81.48,7.51,25.459,26.6432,57.882745,7.5
10/1/2003,8499.28,6074.46,11282.62,92.22,7.49,21.1961,4.45805,57.422357,7.5
11/1/2003,9205.37,6219.86,11088.87,97.47,7.45,14.7815,8.73106,57.227694,7.5
12/1/2003,9473.09,6360.02,11342.87,92.69,8.01,10.9484,6.59911,57.439062,7.5
1/1/2004,9549.84,6632.58,12215.04,95.88,7.46,10.0728,40.4796,57.419953,7.5
2/1/2004,9261.99,7089.82,12238.17,93.54,7.46,12.948,14.0607,57.347918,7.5
3/1/2004,9551.1,7343.68,13659.19,91.33,8.04,19.7395,5.8893,57.505631,7.5
4/1/2004,9572.23,7671.34,13834.27,87.92,8.62,23.8473,23.9461,57.473611,7.5
5/1/2004,9437.32,7390.54,13372.37,88.76,8.07,26.9613,13.0265,57.701644,7.5
6/1/2004,8959.73,7140.46,13259.52,82.22,8.69,28.9639,19.2273,58.156561,7.5
7/1/2004,8771.09,6106.56,13439.1,73.38,9.9,28.9375,25.0681,58.458911,7.5
8/1/2004,8267.75,6088.61,13985.37,69.63,9.95,27.829,55.6868,58.723494,7.5
9/1/2004,8907.08,5771.94,13874.01,73.13,10.03,25.7652,14.8943,59.217436,7.5
10/1/2004,8890.52,5553.4,14447.47,68.68,11.25,20.0412,15.7158,61.299876,7.5
11/1/2004,9299.6,5568.35,15395.38,64.15,10.69,16.7485,4.45713,59.764763,7.5
12/1/2004,9155.98,5676.15,16557.18,63.67,10.71,11.8256,24.5047,59.448524,7.5
1/1/2005,9080.86,5690.69,16968.59,66.81,11.23,8.54956,37.8255,59.321857,7.5
2/1/2005,8937.78,5565.93,17145.96,68.58,11.82,9.85965,58.5418,59.336453,7.5
3/1/2005,8927.13,5905.31,17308.55,73.31,11.82,17.0582,39.8889,59.376286,7.5
4/1/2005,8329.39,5692.46,17574.61,74.5,11.23,21.5357,21.019,59.444739,9
5/1/2005,8527.44,5677.03,17479.67,73.18,11.3,24.9914,28.0511,59.565336,9
6/1/2005,8471.42,5795.64,17010.88,71.03,11.94,29.4678,7.56779,59.673773,9
7/1/2005,8581.04,6412.97,16506.59,72.17,12.53,28.7374,57.6825,59.619893,9
8/1/2005,8912.24,6066.6,16874.53,71.01,13.13,27.837,30.106,59.67375,9
9/1/2005,9558.04,5766.18,17071.13,72.41,13.76,26.3623,28.4904,59.697964,9
10/1/2005,10023.07,6088.01,17104.25,76.44,14.93,21.7881,5.99123,59.692893,9
11/1/2005,9632,5701.37,16604.32,74.73,14.95,15.982,6.53659,59.747893,9
12/1/2005,9838.79,6111.25,16782.9,74.79,17.35,10.483,5.4577,59.777036,9
1/1/2006,10004.46,6143.56,17431.19,77.21,20.95,8.71378,29.0408,59.836821,9
2/1/2006,10768.45,6414.73,18053.21,79.04,23.95,14.1161,13.8581,59.858713,9
3/1/2006,10466.43,6315.02,18210.05,76.2,22.8,16.7209,25.278,59.960936,9
4/1/2006,10818.26,6461.56,18130.41,74.38,23.39,22.2064,12.1557,60.021201,9
5/1/2006,11603.13,6646.41,18500.62,72.08,22.22,28.8025,10.1385,60.201791,9
6/1/2006,11745.79,6584.29,18807.96,73.43,20.46,28.6467,18.3895,60.176453,9
7/1/2006,12204.21,6872.29,19015.01,73.55,21.1,29.5377,56.4659,60.334155,9.5
8/1/2006,11456.7,7033.52,18862.44,79.63,18.1,27.523,90.9753,60.386358,9.5
9/1/2006,11854.47,7364.43,18702.94,78.63,16.33,25.5383,30.0485,60.546474,9.5
10/1/2006,12849.75,8613.56,18236.48,76.34,15.75,22.9745,8.54544,60.604154,9.5
11/1/2006,12729.63,9989.19,17985.28,77.1,15.78,16.6146,19.6015,60.819988,9.5
12/1/2006,12440.7,9765.75,18571.85,79.77,15.83,10.3733,39.7918,60.885543,9.5
1/1/2007,11940.61,10034.45,19061.61,79.17,14.62,9.39986,3.02615,60.734666,9.5
2/1/2007,12155.21,10779.71,19146.37,77.8,13.98,12.6527,52.2204,60.687464,9.5
3/1/2007,12086.59,10351,19345.22,78.31,13.96,16.1136,63.9909,60.709005,9.5
4/1/2007,12043.32,9276.48,19220.98,76.52,12.75,24.4728,10.2507,60.681861,9.5
5/1/2007,11873.02,9720.08,19266.66,74.01,12.74,26.9313,11.1028,60.722811,9.5
6/1/2007,13527.1,10022.21,19604.71,81.27,12.13,28.879,36.5794,60.438074,9.5
7/1/2007,14405.85,8872.76,19867.64,90.64,13.29,28.6898,59.3898,60.405738,9.5
